"a1,1 Log Mag"
"Freq (Hz)","dBm",
5955000000, 1.684717e+001,
6022500000, 1.701458e+001,
6090000000, 1.693326e+001,
6157500000, 1.698732e+001,
6225000000, 1.701687e+001,
6292500000, 1.697686e+001,
6360000000, 1.702067e+001,
6427500000, 1.698872e+001,
6495000000, 1.699059e+001,
6562500000, 1.700846e+001,
6630000000, 1.701377e+001,
6697500000, 1.716604e+001,
6765000000, 1.722187e+001,
6832500000, 1.719000e+001,
6900000000, 1.716330e+001,
6967500000, 1.719598e+001,
7035000000, 1.719161e+001,
7102500000, 1.718725e+001,
7170000000, 1.720167e+001,
7237500000, 1.715795e+001,
7305000000, 1.718384e+001,
7372500000, 1.724285e+001,
7440000000, 1.707860e+001,
7507500000, 1.694324e+001,
7575000000, 1.700466e+001,
7642500000, 1.697833e+001,
7710000000, 1.696687e+001,
7777500000, 1.698739e+001,
7845000000, 1.690135e+001,
7912500000, 1.676738e+001,
7980000000, 1.685335e+001,
8047500000, 1.677687e+001,
8115000000, 1.672024e+001,
8182500000, 1.680474e+001,
8250000000, 1.682468e+001,
8317500000, 1.669379e+001,
8385000000, 1.663302e+001,
8452500000, 1.659568e+001,
8520000000, 1.652531e+001,
8587500000, 1.661226e+001,
8655000000, 1.661228e+001,
8722500000, 1.654452e+001,
8790000000, 1.658746e+001,
8857500000, 1.659794e+001,
8925000000, 1.646657e+001,
8992500000, 1.640246e+001,
9060000000, 1.635761e+001,
9127500000, 1.636377e+001,
9195000000, 1.639372e+001,
9262500000, 1.634905e+001,
9330000000, 1.637843e+001,
9397500000, 1.642439e+001,
9465000000, 1.635745e+001,
9532500000, 1.624761e+001,
9600000000, 1.620857e+001,
9667500000, 1.613504e+001,
9735000000, 1.619693e+001,
9802500000, 1.627133e+001,
9870000000, 1.608863e+001,
9937500000, 1.614864e+001,
10005000000, 1.650441e+001,
10072500000, 1.631957e+001,
10140000000, 1.626173e+001,
10207500000, 1.628469e+001,
10275000000, 1.611442e+001,
10342500000, 1.615949e+001,
10410000000, 1.633811e+001,
10477500000, 1.610592e+001,
10545000000, 1.604872e+001,
10612500000, 1.633474e+001,
10680000000, 1.617381e+001,
10747500000, 1.602387e+001,
10815000000, 1.629767e+001,
10882500000, 1.618706e+001,
10950000000, 1.605994e+001,
11017500000, 1.634157e+001,
11085000000, 1.617842e+001,
11152500000, 1.605976e+001,
11220000000, 1.628740e+001,
11287500000, 1.625474e+001,
11355000000, 1.602463e+001,
11422500000, 1.620024e+001,
11490000000, 1.625960e+001,
11557500000, 1.611441e+001,
11625000000, 1.623031e+001,
11692500000, 1.626645e+001,
11760000000, 1.607588e+001,
11827500000, 1.619579e+001,
11895000000, 1.628791e+001,
11962500000, 1.616105e+001,
12030000000, 1.611857e+001,
12097500000, 1.606784e+001,
12165000000, 1.611447e+001,
12232500000, 1.611733e+001,
12300000000, 1.608702e+001,
12367500000, 1.611977e+001,
12435000000, 1.612992e+001,
12502500000, 1.627229e+001,
12570000000, 1.615395e+001,
12637500000, 1.614469e+001,
12705000000, 1.626838e+001,
12772500000, 1.613417e+001,
12840000000, 1.608311e+001,
12907500000, 1.607356e+001,
12975000000, 1.594451e+001,
13042500000, 1.592650e+001,
13110000000, 1.607263e+001,
13177500000, 1.595729e+001,
13245000000, 1.592819e+001,
13312500000, 1.609949e+001,
13380000000, 1.592818e+001,
13447500000, 1.592523e+001,
13515000000, 1.612294e+001,
13582500000, 1.576925e+001,
13650000000, 1.568186e+001,
13717500000, 1.594569e+001,
13785000000, 1.569455e+001,
13852500000, 1.559466e+001,
13920000000, 1.576915e+001,
13987500000, 1.550786e+001,
14055000000, 1.543274e+001,
14122500000, 1.561437e+001,
14190000000, 1.533920e+001,
14257500000, 1.535094e+001,
14325000000, 1.578376e+001,
14392500000, 1.533963e+001,
14460000000, 1.535578e+001,
14527500000, 1.590760e+001,
14595000000, 1.551444e+001,
14662500000, 1.537988e+001,
14730000000, 1.593557e+001,
14797500000, 1.551095e+001,
14865000000, 1.550642e+001,
14932500000, 1.615472e+001,
15000000000, 1.573768e+001,
